ensembl_gene_id,m_measure
gene278,1.1449
gene279,1.56057
gene28,1.00281
gene280,0.99426
gene281,1.4205
gene282,1.13046
gene283,1.59725
gene284,1.03245
gene285,1.08522
gene286,1.19626
gene287,0.99264
gene288,0.99139
gene289,2.12952
gene29,1.30568
gene290,1.40678
gene291,1.36316
gene292,2.48238
gene293,1.11327
gene294,1.47862
gene295,1.1406
gene296,1.87452
gene297,1.54564
gene298,1.76461
gene299,1.52243
gene3,1.32287
gene30,1.52185
gene300,2.19089
gene301,1.05053
gene302,1.19242
gene303,1.39785
gene304,1.54203
gene305,1.41785
gene306,1.08032
gene307,1.29901
gene308,1.77718
gene309,1.35273
gene31,1.25342
gene310,0.98997
gene311,1.94621
gene312,1.05207
gene313,1.45898
gene314,1.50028
gene315,1.15185
gene316,2.07006
gene317,1.13915
gene318,1.86613
gene319,1.39736
gene32,2.19308
gene320,2.37042
gene321,1.30166
gene322,1.54775
gene323,1.25421
gene324,1.51237
gene325,2.15274
gene326,0.99696
gene327,1.60631
gene328,1.03208
gene329,1.77115
gene33,1.43172
gene330,1.36125
gene331,1.33021
gene332,1.00579
gene333,1.30257
gene334,1.80761
gene335,1.19721
gene336,1.06852
gene337,1.97878
gene338,1.06346
gene339,1.14154
gene34,1.10093
gene340,1.23903
gene341,1.441
gene342,1.41885
gene343,1.19288
gene344,1.01675
gene345,1.37162
gene346,1.39226
gene347,1.61744
gene348,1.27567
gene349,1.14033
gene35,1.22803
gene350,1.68074
gene351,1.04288
gene352,1.48949
gene353,1.71278
gene354,1.90339
gene355,1.55064
gene356,2.72063
gene357,1.0458
gene358,1.86873
gene359,1.21488
gene36,1.7474
gene360,1.55274
gene361,1.3294
gene362,1.03296
gene363,2.04189
gene364,1.17148
gene365,1.37466
gene366,1.91703
gene367,1.00667
gene368,1.11558
gene369,1.05933
gene37,1.70807
gene370,2.44102
gene371,1.07165
gene372,1.03324
gene373,1.55901
gene374,1.06973
gene375,1.80801
gene376,1.02835
gene377,1.00699
gene378,2.50593
gene379,1.21192
gene38,1.43397
gene380,1.77448
gene381,1.0405
gene382,1.08225
gene383,1.33072
gene384,1.28409
gene385,1.41505
gene386,1.06634
gene387,1.90479
gene388,1.35599
gene389,1.08432
gene39,1.16434
gene390,1.19859
gene391,1.5186
gene392,1.23199
gene393,1.57973
gene394,2.03879
gene395,1.11518
gene396,1.42172
gene397,1.07827
gene398,1.55672
gene399,1.65116
gene4,1.0578
gene40,1.04624
gene400,1.04769
gene401,1.80263
gene402,1.21414
gene403,1.07059
gene404,1.0241
gene405,1.70854
gene406,1.28004
gene407,1.44268
gene408,1.2516
gene409,1.44425
gene41,1.50073
gene410,1.02534
gene411,1.68631
gene412,1.85576
gene413,1.49055
gene414,1.02916
gene415,1.06017
gene416,1.29322
gene417,1.48804
gene418,1.16203
gene419,1.48162
gene42,2.32773
gene420,1.13548
gene421,1.46956
gene422,1.22808
gene423,1.39278
gene424,2.08746
gene425,1.13165
gene426,1.37281
gene427,1.65901
gene428,1.74928
gene429,1.80698
gene43,1.25586
gene430,1.1592
gene431,1.73514
gene432,1.09097
gene433,1.34356
gene434,1.08438
gene435,2.4576
gene436,1.84482
gene437,1.36933
gene438,2.37839
gene439,1.43556
gene44,1.42631
gene440,1.43161
gene441,1.2899
gene442,1.07236
gene443,1.17462
gene444,1.15553
gene445,1.90902
gene446,1.01433
gene447,1.62679
gene448,1.82995
gene449,2.04469
gene45,1.53507
gene450,1.19652
gene451,1.28015
gene452,1.55467
gene453,2.05862
gene454,1.1386
gene455,1.44854
gene456,1.85619
gene457,1.18044
gene458,1.01281
gene459,1.43398
gene46,1.17233
gene460,1.02254
gene461,1.42952
gene462,1.14255
gene463,1.24866
gene464,1.04343
gene465,1.23593
gene466,1.98006
gene467,1.48702
gene468,1.04255
gene469,1.04534
gene47,1.49478
gene470,1.00223
gene471,1.93164
gene472,1.52131
gene473,1.23277
gene474,1.23682
gene475,2.58632
gene476,1.30854
gene477,1.31542
gene478,1.12078
gene479,1.08402
gene48,1.13746
gene480,2.51597
gene481,1.48803
gene482,1.60518
gene483,1.00966
gene484,1.57119
gene485,1.71486
gene486,1.30456
gene487,1.25031
gene488,1.03751
gene489,1.03785
gene49,1.00223
gene490,1.39709
gene491,1.16109
gene492,2.2017
gene493,1.20139
gene494,1.22411
gene495,1.23459
gene496,1.59125
gene497,1.33367
gene498,1.36699
gene499,1.80915
gene5,1.21994
gene50,1.63214
gene500,1.28206
gene501,1.15782
gene502,1.6481
gene503,1.35567
gene504,2.07313
gene505,1.89677
gene506,1.22356
gene507,1.20037
gene508,1.13406
gene509,1.08375
gene51,2.27761
gene510,1.43493
gene511,1.67414
gene512,1.4292
gene513,1.38959
gene514,1.02535
gene515,1.65733
gene516,1.63166
gene517,1.27606
gene518,1.32353
gene519,1.25886
gene52,2.39089
gene520,2.12015
gene521,1.35705
gene522,1.10546
gene523,1.22516
gene524,1.0629
gene525,1.31498
gene526,1.15496
gene527,1.41317
gene528,1.4769
gene529,1.52919
gene53,1.25247
gene530,1.10805
gene531,1.358
gene532,2.20063
gene533,1.03474
gene534,1.65999
gene535,1.11806
gene536,1.08396
gene537,1.26873
gene538,1.50619
gene539,1.29542
gene54,1.12001
gene540,1.06863
gene541,1.45341
gene542,1.60729
gene543,1.40467
gene544,1.11934
gene545,1.48106
gene546,1.01471
gene547,1.16984
gene548,1.34125
gene549,1.08726
gene55,1.39669
gene550,1.90472
gene551,1.16519
gene552,1.17852
gene553,2.23193
gene554,1.53989
gene555,1.41742
gene556,2.11829
gene557,1.67015
gene558,1.01773
gene559,1.52214
gene56,1.27309
gene560,2.01992
gene561,1.69307
gene562,1.65248
gene563,1.028
gene564,1.01077
gene565,1.06608
gene566,0.9924
gene567,1.2585
gene568,1.06043
gene569,1.62033
gene57,1.03996
gene570,1.56359
gene571,1.40368
gene572,1.17428
gene573,2.39784
gene574,1.44737
gene575,1.11081
gene576,1.525
gene577,1.42796
gene578,1.46187
gene579,1.02475
gene58,1.17536
gene580,1.13683
gene581,2.86937
gene582,1.7138
gene583,1.34506
gene584,1.1955
gene585,1.6488
gene586,1.10288
gene587,2.40855
gene588,1.4733
gene589,1.7197
gene59,1.82793
gene590,2.06357
gene591,1.7247
gene592,1.10392
gene593,1.1268
gene594,1.13832
gene595,1.08563
gene596,1.06091
gene597,1.27768
gene598,1.34865
gene599,1.97484
gene6,1.18293
gene60,1.14406
gene600,1.34751
gene601,1.16884
gene602,1.4177
gene603,2.01741
gene604,1.81166
gene605,1.97472
gene606,1.52577
gene607,1.14632
gene608,1.25238
gene609,1.1868
gene61,2.34214
gene610,1.02914
gene611,1.06757
gene612,1.67708
gene613,1.27274
gene614,1.02177
gene615,1.03899
gene616,1.69551
gene617,1.19876
gene618,1.02164
gene619,1.5823
gene62,1.20296
gene620,1.49142
gene621,1.09331
gene622,1.12382
gene623,1.04352
gene624,1.11901
gene625,1.01498
gene626,1.4694
gene627,1.77633
gene628,1.06506
gene629,2.14749
gene63,1.27012
gene630,1.26428
gene631,1.31905
gene632,2.54865
gene633,2.25234
gene634,1.38785
gene635,1.01283
gene636,1.49126
gene637,1.42553
gene638,1.72864
gene639,1.39257
gene64,1.55932
gene640,1.94801
gene641,1.01894
gene642,1.07949
gene643,1.1175
gene644,1.09237
gene645,1.40777
gene646,1.55631
gene647,1.22249
gene648,1.28834
gene649,1.18558
gene65,1.36839
gene650,1.69577
gene651,2.39207
gene652,2.65528
gene653,1.3956
gene654,1.18616
gene655,1.06079
gene656,1.54639
gene657,1.0438
gene658,2.47557
gene659,1.01174
gene66,0.99548
gene660,1.46417
gene661,1.79505
gene662,1.06355
gene663,1.66128
gene664,1.22994
gene665,1.20828
gene666,1.28485
gene667,1.10531
gene668,1.3203
gene669,1.51807
gene67,1.19022
gene670,2.07976
gene671,1.77449
gene672,1.00935
gene673,2.38368
gene674,1.12068
gene675,2.20668
gene676,1.44561
gene677,2.10294
gene678,2.28218
gene679,2.22812
gene68,1.06288
gene680,1.05711
gene681,1.3094
gene682,1.14727
gene683,1.87823
gene684,1.74517
gene685,1.09255
gene686,1.34385
gene687,1.04599
gene688,1.23707
gene689,1.73783
gene69,0.99442
gene690,2.223
gene691,1.44678
gene692,1.46558
gene693,1.04548
gene694,1.4883
gene695,1.92989
gene696,1.41571
gene697,1.00219
gene698,1.08477
gene699,1.72565
gene7,1.71972
gene70,1.47545
gene700,0.99794
gene701,1.38436
gene702,1.12496
gene703,1.29434
gene704,2.36571
gene705,1.32275
gene706,1.56046
gene707,1.87478
gene708,1.4172
gene709,1.88542
gene71,1.79085
gene710,1.11515
gene711,1.17607
gene712,1.14103
gene713,1.50766
gene714,1.4204
gene715,1.19471
gene716,1.02927
gene717,1.25517
gene718,1.08943
gene719,1.22979
gene72,1.91316
gene720,1.56955
gene721,1.6473
gene722,1.09899
gene723,1.34345
gene724,1.69249
gene725,2.53592
gene726,1.76137
gene727,2.22904
gene728,1.22296
gene729,1.14792
gene73,1.33344
gene730,1.32277
gene731,1.13276
gene732,1.04274
gene733,1.58645
gene734,1.95402
gene735,1.15113
gene736,1.4264
gene737,1.11848
gene738,1.05431
gene739,1.15505
gene74,1.56532
gene740,1.28188
gene741,1.01279
gene742,1.3177
gene743,2.06214
gene744,2.46222
gene745,1.20122
gene746,1.7448
gene747,1.29221
gene748,1.33878
gene749,1.30705
gene75,1.6969
gene750,1.1452
gene751,2.42915
gene752,1.65531
gene753,1.07909
gene754,1.60679
gene755,1.11179
gene756,1.76198
gene757,1.17175
gene758,1.3751
gene759,1.62461
gene76,1.14741
gene760,1.4848
gene761,1.08644
gene762,1.07877
gene763,1.25608
gene764,1.83034
gene765,1.44008
gene766,2.20603
gene767,1.15982
gene768,1.19605
gene769,1.67844
gene77,1.52299
gene770,1.23435
gene771,2.20271
gene772,1.18811
gene773,1.24502
gene774,2.33395
gene775,1.58415
gene776,2.25941
gene777,1.1443
gene778,1.58804
gene779,2.02948
gene78,2.19242
gene780,1.35137
gene781,1.59003
gene782,0.99167
gene783,1.23022
gene784,1.66223
gene785,1.09743
gene786,1.20408
gene787,1.16347
gene788,1.02962
gene789,1.7533
gene79,1.10439
gene790,1.8621
gene791,1.84938
gene792,1.15622
gene793,1.08661
gene794,1.00914
gene795,1.14472
gene796,1.02421
gene797,1.13627
gene798,1.14318
gene799,1.53208
gene8,1.83258
gene80,1.12485
gene800,1.21294
gene801,1.00383
gene802,1.2289
gene803,1.35274
gene804,2.59098
gene805,1.78234
gene806,1.31861
gene807,1.3878
gene808,1.36438
gene809,1.24684
gene81,1.0253
gene810,1.03382
gene811,1.21667
gene812,1.4527
gene813,1.34329
gene814,1.2506
gene815,1.93362
gene816,1.59808
gene817,2.27655
gene818,1.02293
gene819,1.10395
gene82,1.13462
gene820,1.32678
gene821,1.53115
gene822,1.73998
gene823,1.69193
gene824,1.58264
gene825,1.16104
gene826,1.35227
gene827,1.06796
gene828,2.31383
gene829,2.54865
gene83,1.29943
gene830,1.63374
gene831,1.02598
gene832,1.36628
gene833,1.45203
gene834,1.00919
gene835,1.34629
gene836,1.2003
gene837,1.04542
gene838,1.61433
gene839,1.07095
gene84,1.52466
gene840,1.22569
gene841,1.20767
gene842,1.26435
gene843,1.18337
gene844,1.54975
gene845,1.62493
gene846,1.90924
gene847,1.89075
gene848,1.17232
gene849,1.17845
gene85,1.1271
gene850,1.77827
gene851,1.00183
gene852,1.50118
gene853,2.04821
gene854,2.02564
gene855,1.94369
gene856,1.00593
gene857,1.03534
gene858,1.07358
gene859,1.27679
gene86,1.75559
gene860,1.25085
gene861,1.01205
gene862,1.67245
gene863,1.35806
gene864,1.0133
gene865,1.27945
gene866,1.24741
gene867,2.14855
gene868,1.01016
gene869,1.08646
gene87,1.07673
gene870,1.36396
gene871,1.65374
gene872,1.84346
gene873,1.28497
gene874,1.2754
gene875,2.09249
gene876,1.08109
gene877,1.79227
gene878,0.99208
gene879,1.3382
gene88,1.58472
gene880,1.24905
gene881,1.55392
gene882,1.18194
gene883,1.10497
gene884,1.55001
gene885,1.31766
gene886,1.5691
gene887,1.37671
gene888,1.24703
gene889,1.34275
gene89,2.08718
gene890,1.60507
gene891,1.02219
gene892,1.11703
gene893,1.13738
gene894,1.21122
gene895,1.10518
gene896,1.08092
gene897,1.49768
gene898,0.99517
gene899,1.13873
gene9,1.3959
gene90,1.02667
gene900,1.22798
gene901,1.3035
gene902,1.45504
gene903,1.47817
gene904,1.33199
gene905,1.303
gene906,2.49413
gene907,1.3657
gene908,1.29756
gene909,1.7746
gene91,1.12428
gene910,1.19709
gene911,1.26631
gene912,1.11011
gene913,1.78718
gene914,1.11138
gene915,1.90285
gene916,1.31155
gene917,1.80366
gene918,1.41173
gene919,1.25963
gene92,1.42492
gene920,1.45943
gene921,1.09671
gene922,2.21123
gene923,1.84367
gene924,1.23275
gene925,1.09446
gene926,1.20825
gene927,2.34528
gene928,1.16369
gene929,1.32345
gene93,1.57011
gene930,1.37455
gene931,1.75509
gene932,1.47719
gene933,1.05092
gene934,1.00682
gene935,1.85937
gene936,2.26231
gene937,1.10915
gene938,1.19277
gene939,1.24385
gene94,2.11619
gene940,1.38293
gene941,1.05449
gene942,1.52689
gene943,1.1189
gene944,1.01716
gene945,2.18425
gene946,1.43982
gene947,1.7004
gene948,1.91679
gene949,1.38533
gene95,1.47233
gene950,1.20709
gene951,1.21491
gene952,1.89856
gene953,1.16996
gene954,1.12521
gene955,1.13515
gene956,1.37997
gene957,1.24199
gene958,1.11585
gene959,1.52404
gene96,1.32332
gene960,1.7743
gene961,1.36841
gene962,1.61714
gene963,1.66758
gene964,1.08957
gene965,1.1653
gene966,1.35952
gene967,1.50423
gene968,1.75671
gene969,1.36884
gene97,1.10148
gene970,1.27129
gene971,1.01933
gene972,1.04624
gene973,1.04875
gene974,1.39584
gene975,1.20696
gene976,1.10805
gene977,1.59912
gene978,2.60854
gene979,1.08933
gene98,1.15668
gene980,1.22542
gene981,2.11385
gene982,1.56173
gene983,1.13687
gene984,1.16117
gene985,1.56651
gene986,2.14715
gene987,1.87678
gene988,1.50952
gene989,2.0351
gene99,1.05615
gene990,1.8393
gene991,2.30075
gene992,1.09968
gene993,1.23652
gene994,1.54824
gene995,1.32469
gene996,1.53873
gene997,1.49676
gene998,1.68583
gene999,1.17307
